*** INDICADORES ***,,,,,,,,,,,,,,
        Diagnóstico Em Cardiologia,,,,11,,"8.500,80","5.417,72",,,"0,00","3.083,08",,,"0,00"
        Exames Do Doador/Receptor,,,,201,,"3.425,04","3.425,04",,,"0,00","0,00",,,"0,00"
        Teste Realizado Fora Da Estrutura De Laboratório,,,,494,,"494,00","494,00",,,"0,00","0,00",,,"0,00"
GRUPO: Procedimentos Clínicos,,,,4153,,"64.648,74","32.319,54",,,"0,00","32.329,20",,,"0,00"
        Consultas Médicas/Outros Profissionais  De Nivel Superior,,,,495,,"4.950,00","0,00",,,"0,00","4.950,00",,,"0,00"
"        Assistência Fisioterapêutica Em Alterações Obstétricas, Neonatais E Uroginecológicas",,,,1922,,"12.204,70","12.204,70",,,"0,00","0,00",,,"0,00"
        Assistência Fisioterapêutica Cardiovasculares E Pneumo-Funcionais,,,,1073,,"6.376,75","6.376,75",,,"0,00","0,00",,,"0,00"
        Tratamento Dialítico,,,,48,,"12.739,68","12.739,68",,,"0,00","0,00",,,"0,00"
        Medicina Transfusional,,,,119,,"998,41","998,41",,,"0,00","0,00",,,"0,00"
        Parto E Nascimento,,,,496,,"27.379,20","0,00",,,"0,00","27.379,20",,,"0,00"
GRUPO: Procedimentos Cirúrgicos,,,,169,,"10.350,26","223,66",,,"0,00","10.126,60",,,"0,00"
        Pequenas Cirurgias,,,,2,,"64,80","64,80",,,"0,00","0,00",,,"0,00"
        Parede E Cavidade Abdominal,,,,9,,"119,95","119,95",,,"0,00","0,00",,,"0,00"
"        Rim, Ureter E Bexiga",,,,1,,"12,97","12,97",,,"0,00","0,00",,,"0,00"
        Pulmão,,,,2,,"109,94","25,94",,,"0,00","84,00",,,"0,00"
        Anestesias,,,,155,,"10.042,60","0,00",,,"0,00","10.042,60",,,"0,00"
GRUPO: Medicamentos,,,,88,,"9.570,72","9.570,72",,,"0,00","0,00",,,"0,00"
        Imunoterápicos,,,,28,,"2.611,84","2.611,84",,,"0,00","0,00",,,"0,00"
        Reguladores De Atividade Hormonal - Inibidores Da Prolactina,,,,8,,"380,96","380,96",,,"0,00","0,00",,,"0,00"
        Tensiolítico Alveolar,,,,8,,"4.157,92","4.157,92",,,"0,00","0,00",,,"0,00"
        Hemoderivados,,,,44,,"2.420,00","2.420,00",,,"0,00","0,00",,,"0,00"
"GRUPO: Órteses, Próteses E Materiais Especiais",,,,76,,"25.756,44","25.756,44",,,"0,00","0,00",,,"0,00"
        Opm Em Ortopedia,,,,36,,"17.506,44","17.506,44",,,"0,00","0,00",,,"0,00"
        Opm Em Assistência Cardiovascular,,,,15,,"3.652,80","3.652,80",,,"0,00","0,00",,,"0,00"
        Opm Comuns,,,,24,,"4.417,20","4.417,20",,,"0,00","0,00",,,"0,00"
        Opm Em Urologia,,,,1,,"180,00","180,00",,,"0,00","0,00",,,"0,00"
*** INDICADORES ***,,,,,,,,,,,,,,
,Período   01,,,,Contas:,,,,Média,,,,Média Permanência,
11/2025,,,934,,,,,"1.493,83",,,,"0,00",,
GRUPO: Ações Complementares Da Atenção À Saúde,,,,3763,,"622.350,50","513.390,50",,,"0,00","108.960,00",,,"0,00"
        Incentivos,,,,384,,"1.920,00","1.920,00",,,"0,00","0,00",,,"0,00"
        Diárias,,,,3379,,"620.430,50","511.470,50",,,"0,00","108.960,00",,,"0,00"
Totais:  ,,,,9722,,"784.530,10","630.031,22",,,"0,00","154.498,88",,,"0,00"
,,,,,,,Total do SH: ,,,"630.031,22",Total do SP: ,,,"154.498,88"
Procedimentos Secundários,,,,,,,,,,,,,,
Descrição,,Dias,,Qtd,,Total,SH Próprio,,,SH Terceiro,SP Próprio,,,SP Terceiro
GRUPO: Procedimentos Clínicos,,,,110,,"514,12","0,00",,,"0,00","514,12",,,"0,00"
        Consultas Médicas/Outros Profissionais  De Nivel Superior,,,,110,,"514,12","0,00",,,"0,00","514,12",,,"0,00"
Totais:  ,,,,110,,"514,12","0,00",,,"0,00","514,12",,,"0,00"
,,,,,,,Total do SH: ,,,"0,00",Total do SP: ,,,"514,12"
Geral:  ,,,,,,"1.395.238,89","1.062.593,99",,,"0,00","332.644,90",,,"0,00"
,,,,,,,Total do SH: ,,,"1.062.593,99",Total do SP: ,,,"332.644,90"
