TIPO;CÓDIGO;EXISTENTE;SUS
2;31;1;1
2;32;3;3
2;33;3;3
2;40;2;2
2;41;1;1
2;42;2;2
4;43;16;12
5;45;11;11
2;46;2;2
5;68;1;1
3;75;11;10
3;81;18;18
3;92;4;4
3;93;3;3
1;05;2;1
1;16;1;0
1;13;1;1
1;15;1;0
1;03;8;7
1;02;4;1
4;10;51;39
1;09;1;1
1;08;1;1
1;06;5;5
