INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Nov/2015
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0407010270 TRATAMENTO CIRURGICO DE ACALASIA (CARDIOMIOPLASTIA) 1 2.563,33 16 - -
0407020039 APENDICECTOMIA 1 438,62 1 - -
0407020136 DRENAGEM DE ABSCESSO ANU-RETAL 1 4.747,44 10 1 100,00
0407020179 ENTERECTOMIA 1 2.806,86 14 - -
0407020284 HEMORROIDECTOMIA 1 315,94 1 - -
0407030026 COLECISTECTOMIA 29 21.160,61 62 - -
0407040013 DRENAGEM DE ABSCESSO PELVICO 1 826,27 13 - -
0407040080 HERNIOPLASTIA INCISIONAL 2 1.378,84 3 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 1 796,02 1 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 5 3.125,55 5 - -
0407040129 HERNIOPLASTIA UMBILICAL 3 1.406,97 3 - -
0407040161 LAPAROTOMIA EXPLORADORA 2 2.000,84 4 1 50,00
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 1 531,89 1 - -
0408020423 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRACO (C/ SINTESE) 1 731,11 1 - -
0408040050 ARTROPLASTIA PARCIAL DE QUADRIL 4 12.117,03 33 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 1 3.423,60 11 - -
0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA 2 4.248,30 18 - -
0408050527 TRATAMENTO CIRURGICO DE FRATURA DA PATELA POR FIXACAO INTERNA 1 529,67 3 - -
0408050535 TRATAMENTO CIRURGICO DE FRATURA DO CALCANEO 1 589,02 3 - -
0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA 2 4.057,08 14 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 2 2.201,33 29 - -
0408060212 RESSECCAO DE CISTO SINOVIAL 1 91,49 - - -
0409010065 CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA 1 549,72 2 - -
0409010383 RESSECCAO ENDOSCOPICA DE LESAO VESICAL 1 516,61 2 - -
0409010480 TRATAMENTO CIRURGICO DE HEMORRAGIA VESICAL(FORMOLIZACAO DA BEXIGA) 1 744,26 7 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 1 626,68 4 - -
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE 1 272,97 2 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 8 3.933,28 - - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 3 622,26 2 - -
0409060054 CURETAGEM UTERINA EM MOLA HIDATIFORME 1 185,38 - - -
0409060070 ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIRACAO MANUAL INTRA-UTERINA (AMIU) 1 142,84 2 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 1 524,08 2 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 3 2.884,45 8 - -
0409060127 HISTERECTOMIA SUBTOTAL 1 594,04 2 - -
0409060135 HISTERECTOMIA TOTAL 9 6.601,09 21 - -
0409060186 LAQUEADURA TUBARIA 8 3.096,16 8 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 2 1.091,72 3 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 1 472,43 2 - -
0410010014 DRENAGEM DE ABSCESSO DE MAMA 1 316,07 10 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 1 157,81 1 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 49 57.935,53 131 - -
0411010034 OPERACAO CESARIANA 142 113.922,14 335 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 22 24.291,70 45 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 67 15.988,85 92 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 4 2.220,08 9 - -
0412040174 TORACOTOMIA EXPLORADORA 1 1.181,97 9 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 7 15.343,43 32 - -
0415020034 OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS 1 4.482,34 21 - -
0415040027 DEBRIDAMENTO DE FASCEITE NECROTIZANTE 1 682,71 3 - -
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS 4 2.753,23 23 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
