INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jun/2016
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 1 1 278,54 239,75 - - 38,79 - - 278,54 278,54 2 2,0 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 22 22 115.581,33 101.439,81 - - 14.141,52 - - 5.253,70 5.253,70 474 21,5 1 4,55
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 9 9 86.092,98 76.303,32 - - 9.789,66 - - 9.565,89 9.565,89 313 34,8 2 22,22
0305020013 TRATAMENTO DA PIELONEFRITE 4 4 1.608,39 1.446,32 - - 162,07 - - 402,10 402,10 24 6,0 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 3 3 5.668,73 5.051,90 - - 616,83 - - 1.889,58 1.889,58 17 5,7 1 33,33
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 5 5 3.626,75 3.125,50 - - 501,25 - - 725,35 725,35 24 4,8 1 20,00
0310010039 PARTO NORMAL 324 324 202.373,00 101.348,78 - - 101.024,22 - - 624,61 624,61 517 1,6 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 30 30 23.097,92 12.369,79 - - 10.728,13 - - 769,93 769,93 82 2,7 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 2 2 388,22 266,56 - - 121,66 - - 194,11 194,11 2 1,0 - -
0403010101 DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE 1 1 2.564,76 1.882,68 - - 682,08 - - 2.564,76 2.564,76 7 7,0 - -
0403010314 TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO 1 1 2.146,73 1.396,85 - - 749,88 - - 2.146,73 2.146,73 7 7,0 - -
0406020442 REVASCULARIZACAO POR PONTE / TROMBOENDARTERECTOMIA FEMURO-POPLITEA DISTAL 1 1 2.752,82 2.375,79 - - 377,03 - - 2.752,82 2.752,82 4 4,0 - -
0406020485 TRATAMENTO CIRURGICO DE ANEURISMAS DAS ARTERIAS VISCERAIS 1 1 1.683,30 1.359,77 - - 323,53 - - 1.683,30 1.683,30 3 3,0 - -
0406020566 TRATAMENTO CIRURGICO DE VARIZES (BILATERAL) 4 4 2.328,16 726,56 - - 1.601,60 - - 582,04 582,04 4 1,0 - -
0406030022 ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS 5 5 43.132,17 39.450,17 - - 3.682,00 - - 8.626,43 8.626,43 17 3,4 - -
0406030030 ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT 6 6 32.298,58 28.110,54 - - 4.188,04 - - 5.383,10 5.383,10 19 3,2 - -
0406040028 ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILIACOS (COM STENT) 2 2 9.976,13 8.801,65 - - 1.174,48 - - 4.988,06 4.988,06 2 1,0 - -
0406040052 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT) 4 4 10.750,80 9.085,56 - - 1.665,24 - - 2.687,70 2.687,70 11 2,8 - -
0406040060 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NAO RECOBERTO) 5 5 24.532,25 22.535,45 - - 1.996,80 - - 4.906,45 4.906,45 26 5,2 1 20,00
0407010017 DEGASTROGASTRECTOMIA COM OU SEM VAGOTOMIA 1 1 1.565,03 1.320,09 - - 244,94 - - 1.565,03 1.565,03 17 17,0 - -
0407020039 APENDICECTOMIA 1 1 898,19 713,94 - - 184,25 - - 898,19 898,19 12 12,0 - -
0407020241 FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO) 1 1 936,94 770,90 - - 166,04 - - 936,94 936,94 13 13,0 - -
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL 6 6 1.532,72 1.048,82 - - 483,90 - - 255,45 255,45 7 1,2 - -
0407020284 HEMORROIDECTOMIA 1 1 315,94 191,10 - - 124,84 - - 315,94 315,94 1 1,0 - -
0407030026 COLECISTECTOMIA 30 30 22.775,32 15.181,42 - - 7.593,90 - - 759,18 759,18 36 1,2 - -
0407040080 HERNIOPLASTIA INCISIONAL 2 2 1.446,02 1.139,03 - - 306,99 - - 723,01 723,01 11 5,5 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 2 2 1.679,98 1.386,00 - - 293,98 - - 839,99 839,99 10 5,0 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 6 6 3.443,06 2.561,30 - - 881,76 - - 573,84 573,84 6 1,0 - -
