INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Fev/2015
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0407030026 COLECISTECTOMIA 12 8.746,98 13 - -
0407040021 DRENAGEM DE ABSCESSO SUBFRENICO 1 6.473,79 10 1 100,00
0407040064 HERNIOPLASTIA EPIGASTRICA 1 567,87 1 - -
0407040080 HERNIOPLASTIA INCISIONAL 4 4.180,14 23 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 3 1.694,06 3 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 13 7.955,63 13 - -
0407040129 HERNIOPLASTIA UMBILICAL 7 3.154,93 7 - -
0407040161 LAPAROTOMIA EXPLORADORA 1 661,39 8 - -
0407040200 PERITONIOSTOMIA COM TELA INORGANICA 2 2.908,50 40 - -
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 1 937,98 17 - -
0408010150 TRATAMENTO CIRURGICO DE FRATURA DA CLAVICULA 1 386,70 1 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 1 3.528,04 8 - -
0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES 1 1.078,62 2 - -
0408050497 TRATAMENTO CIRURGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXACAO DO TORNOZELO 1 609,46 3 - -
0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA 1 1.825,28 2 - -
0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR 2 2.623,14 10 - -
0408050543 TRATAMENTO CIRURGICO DE FRATURA DO PILAO TIBIAL 1 1.759,95 1 - -
0408050551 TRATAMENTO CIRURGICO DE FRATURA DO PLANALTO TIBIAL 2 2.519,25 7 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 1 1.416,71 11 - -
0408060360 RETIRADA DE FIXADOR EXTERNO 1 151,67 - - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 1 467,66 - - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 3 622,26 1 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 1 933,17 2 - -
0409060127 HISTERECTOMIA SUBTOTAL 1 935,93 3 - -
0409060135 HISTERECTOMIA TOTAL 11 8.936,46 23 - -
0409060178 HISTEROSCOPIA CIRURGICA C/ RESSECTOSCOPIO 1 197,33 1 - -
0409060186 LAQUEADURA TUBARIA 4 1.524,08 5 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 1 557,86 1 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 3 1.441,29 5 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 2 315,62 3 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 44 59.702,38 128 1 2,27
0411010034 OPERACAO CESARIANA 109 88.890,59 245 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 25 28.070,27 62 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 72 18.149,14 123 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 3 1.619,42 7 - -
0412040115 RETIRADA DE CORPO ESTRANHO DA PAREDE TORACICA 1 757,64 1 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 7 14.566,38 33 - -
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS 2 2.438,24 28 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
