INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Abr/2017
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0407020284 HEMORROIDECTOMIA 3 955,82 3 - -
0407020306 JEJUNOSTOMIA / ILEOSTOMIA 1 1.329,06 6 1 100,00
0407030026 COLECISTECTOMIA 28 21.192,15 37 - -
0407040021 DRENAGEM DE ABSCESSO SUBFRENICO 1 1.039,98 7 - -
0407040064 HERNIOPLASTIA EPIGASTRICA 2 1.119,74 2 - -
0407040080 HERNIOPLASTIA INCISIONAL 1 721,67 4 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 4 2.854,24 4 - -
0407040129 HERNIOPLASTIA UMBILICAL 4 1.747,96 4 - -
0407040161 LAPAROTOMIA EXPLORADORA 1 1.592,54 28 - -
0408020407 TRATAMENTO CIRURGICO DE FRATURA DA EXTREMIDADE / METAFISE DISTAL DOS OSSOS DO ANTEBRACO 1 755,28 3 - -
0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES 1 1.446,68 16 - -
0408050454 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE OSSOS DO MEDIO-PE 1 281,41 2 - -
0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA 1 1.425,03 6 - -
0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA 3 5.872,12 24 1 33,33
0409010090 CISTOSTOMIA 1 2.211,56 58 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 1 642,68 3 - -
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE 2 513,94 3 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 2 983,32 1 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 1 215,42 1 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 1 524,08 2 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 3 2.528,10 6 - -
0409060135 HISTERECTOMIA TOTAL 13 8.908,00 29 - -
0409060186 LAQUEADURA TUBARIA 10 3.870,20 10 - -
0409060194 MIOMECTOMIA 1 552,94 2 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 1 472,43 3 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 3 563,90 4 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 36 42.674,50 89 - -
0411010034 OPERACAO CESARIANA 208 167.053,41 451 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 15 16.485,03 31 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 61 14.740,52 81 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 3 1.578,54 12 - -
0412040166 TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA 1 1.255,73 14 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 5 23.658,20 16 - -
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS 2 1.440,47 5 2 100,00

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
