INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Set/2012
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 9 9 8.124,36 7.233,30 - - 891,06 - - 902,71 902,71 97 10,8 1 11,11
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO 2 2 527,83 466,47 - - 61,36 - - 263,91 263,91 6 3,0 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 2 2 489,94 422,92 - - 67,02 - - 244,97 244,97 5 2,5 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 7 7 9.504,70 8.208,43 - - 1.296,27 - - 1.357,81 1.357,81 39 5,6 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 2 2 1.032,50 887,12 - - 145,38 - - 516,25 516,25 3 1,5 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 20 20 99.182,20 86.925,58 - - 12.256,62 - - 4.959,11 4.959,11 439 21,9 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 6 6 29.466,26 26.397,62 - - 3.068,64 - - 4.911,04 4.911,04 164 27,3 1 16,67
0304100021 TRATAMENTO CLINICO DE PACIENTE ONCOLOGICO 1 1 3.972,89 3.433,15 - - 539,74 - - 3.972,89 3.972,89 9 9,0 - -
0305020013 TRATAMENTO DA PIELONEFRITE 1 1 332,90 289,48 - - 43,42 - - 332,90 332,90 8 8,0 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 1 1 449,65 380,93 - - 68,72 - - 449,65 449,65 4 4,0 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 8 8 5.022,47 4.286,38 - - 736,09 - - 627,81 627,81 33 4,1 1 12,50
0310010039 PARTO NORMAL 371 371 239.131,17 124.129,52 - - 115.001,65 - - 644,56 644,56 582 1,6 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 14 14 10.771,06 5.806,94 - - 4.964,12 - - 769,36 769,36 26 1,9 - -
0401020088 EXERESE DE CISTO SACRO-COCCIGEO 1 1 167,72 112,43 - - 55,29 - - 167,72 167,72 1 1,0 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 3 3 530,33 347,84 - - 182,49 - - 176,78 176,78 1 0,3 - -
0407020039 APENDICECTOMIA 2 2 877,24 555,18 - - 322,06 - - 438,62 438,62 5 2,5 - -
0407020071 COLECTOMIA TOTAL 1 1 1.520,36 1.263,78 - - 256,58 - - 1.520,36 1.520,36 7 7,0 - -
0407020284 HEMORROIDECTOMIA 4 4 1.263,76 764,40 - - 499,36 - - 315,94 315,94 5 1,3 - -
0407020306 JEJUNOSTOMIA / ILEOSTOMIA 1 1 3.616,27 3.313,11 - - 303,16 - - 3.616,27 3.616,27 76 76,0 - -
0407030026 COLECISTECTOMIA 36 36 26.532,14 17.531,87 - - 9.000,27 - - 737,00 737,00 66 1,8 - -
0407040013 DRENAGEM DE ABSCESSO PELVICO 1 1 741,33 589,14 - - 152,19 - - 741,33 741,33 6 6,0 - -
0407040064 HERNIOPLASTIA EPIGASTRICA 3 3 1.825,67 1.371,56 - - 454,11 - - 608,56 608,56 6 2,0 - -
0407040080 HERNIOPLASTIA INCISIONAL 4 4 2.316,03 1.725,27 - - 590,76 - - 579,01 579,01 8 2,0 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 2 2 1.474,04 1.180,06 - - 293,98 - - 737,02 737,02 2 1,0 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 13 13 8.785,63 6.875,15 - - 1.910,48 - - 675,82 675,82 15 1,2 - -
0407040129 HERNIOPLASTIA UMBILICAL 5 5 2.182,95 1.500,75 - - 682,20 - - 436,59 436,59 5 1,0 - -
0407040161 LAPAROTOMIA EXPLORADORA 2 2 7.993,71 6.832,33 - - 1.161,38 - - 3.996,86 3.996,86 24 12,0 - -
0407040188 LIBERACAO DE ADERENCIAS INTESTINAIS 1 1 5.024,90 4.337,28 - - 687,62 - - 5.024,90 5.024,90 19 19,0 - -
0408010215 TRATAMENTO CIRURGICO DE LUXACAO RECIDIVANTE / HABITUAL DE ARTICULACAO ESCAPULO-UMERAL 1 1 379,15 212,41 - - 166,74 - - 379,15 379,15 1 1,0 - -
0408020431 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA UNICA DO RADIO / DA ULNA 1 1 408,09 312,15 - - 95,94 - - 408,09 408,09 2 2,0 - -
0408020466 TRATAMENTO CIRURGICO DE FRATURAS DOS OSSOS DO CARPO 1 1 250,56 151,63 - - 98,93 - - 250,56 250,56 2 2,0 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 1 1 3.233,27 2.941,75 - - 291,52 - - 3.233,27 3.233,27 4 4,0 - -
0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES 1 1 2.725,81 2.294,67 - - 431,14 - - 2.725,81 2.725,81 2 2,0 1 100,00
0408050136 RECONSTRUCAODE TENDAO PATELAR / TENDAO QUADRICIPITAL 1 1 1.602,18 1.270,15 - - 332,03 - - 1.602,18 1.602,18 3 3,0 - -
0408050497 TRATAMENTO CIRURGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXACAO DO TORNOZELO 1 1 432,14 263,01 - - 169,13 - - 432,14 432,14 1 1,0 - -
0408050624 TRATAMENTO CIRURGICO DE FRATURA SUPRACONDILEANA DO FEMUR (METAFISE DISTAL) 1 1 1.432,97 1.185,17 - - 247,80 - - 1.432,97 1.432,97 10 10,0 - -
0408050799 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA DIAFISE DO FEMU 1 1 2.086,77 1.861,50 - - 225,27 - - 2.086,77 2.086,77 6 6,0 - -
0408050861 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA DIAFISE TIBIAL 2 2 1.551,52 1.160,42 - - 391,10 - - 775,76 775,76 5 2,5 - -
0408060123 EXPLORACAO ARTICULAR C/ OU S/ SINOVECTOMIA DE MEDIAS / GRANDES ARTICULACOES 1 1 291,66 186,15 - - 105,51 - - 291,66 291,66 1 1,0 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 1 1 649,74 455,29 - - 194,45 - - 649,74 649,74 3 3,0 - -
0409010499 TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA VIA ABDOMINAL 1 1 386,20 202,90 - - 183,30 - - 386,20 386,20 4 4,0 - -
0409020141 URETROPLASTIA HETEROGENEA 1 1 426,75 243,41 - - 183,34 - - 426,75 426,75 2 2,0 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 1 1 682,68 354,14 - - 328,54 - - 682,68 682,68 5 5,0 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 2 2 935,32 658,40 - - 276,92 - - 467,66 467,66 - - - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 2 2 430,84 316,46 - - 114,38 - - 215,42 215,42 2 1,0 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 4 4 3.554,92 2.511,98 - - 1.042,94 - - 888,73 888,73 15 3,8 - -
