INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Ago/2015
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0407030069 COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA 1 787,05 11 - -
0407040064 HERNIOPLASTIA EPIGASTRICA 1 567,87 1 - -
0407040080 HERNIOPLASTIA INCISIONAL 7 4.686,44 11 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 4 2.710,08 4 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 21 13.889,29 32 - -
0407040129 HERNIOPLASTIA UMBILICAL 5 2.378,95 5 - -
0407040161 LAPAROTOMIA EXPLORADORA 3 8.149,10 51 1 33,33
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 1 1.365,78 24 - -
0408020407 TRATAMENTO CIRURGICO DE FRATURA DA EXTREMIDADE / METAFISE DISTAL DOS OSSOS DO ANTEBRACO 1 755,28 2 - -
0408020423 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRACO (C/ SINTESE) 1 938,92 3 - -
0408040050 ARTROPLASTIA PARCIAL DE QUADRIL 2 6.336,38 9 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 2 7.145,41 12 - -
0408050039 ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR 1 949,79 3 - -
0408050497 TRATAMENTO CIRURGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXACAO DO TORNOZELO 2 1.275,68 7 - -
0408050551 TRATAMENTO CIRURGICO DE FRATURA DO PLANALTO TIBIAL 1 685,86 2 - -
0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA 3 5.776,50 30 - -
0408060042 AMPUTACAO / DESARTICULACAO DE DEDO 1 346,03 1 - -
0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE 1 649,74 4 - -
0409010065 CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA 2 1.155,44 7 - -
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE 1 264,97 1 - -
0409040240 VASECTOMIA 1 306,47 - - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 3 1.474,98 2 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 4 829,68 5 - -
0409060070 ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIRACAO MANUAL INTRA-UTERINA (AMIU) 1 190,84 2 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 2 1.064,16 3 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 3 2.648,10 8 - -
0409060135 HISTERECTOMIA TOTAL 14 10.228,17 36 - -
0409060186 LAQUEADURA TUBARIA 6 2.322,12 6 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 1 557,86 2 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 2 944,86 5 - -
0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE 1 224,68 1 - -
0410010014 DRENAGEM DE ABSCESSO DE MAMA 1 534,94 14 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 2 315,62 2 - -
