 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Ago/2008
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0402010035 TIREOIDECTOMIA PARCIAL";1;419,34;1;-;-
"0402020022 SUPRARRENALECTOMIA UNILATERAL";1;775,29;2;-;-
"0403020123 TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO";1;280,14;1;-;-
"0407010130 GASTRECTOMIA PARCIAL COM OU SEM VAGOTOMIA";1;3068,12;6;-;-
"0407020039 APENDICECTOMIA";3;1528,39;20;-;-
"0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA)";1;2246,85;29;-;-
"0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL";1;233,88;2;-;-
"0407020284 HEMORROIDECTOMIA";2;545,48;2;-;-
"0407020403 RETOSSIGMOIDECTOMIA ABDOMINAL";1;1276,00;6;-;-
"0407020411 RETOSSIGMOIDECTOMIA ABDOMINO-PERINEAL";1;3244,20;7;-;-
"0407030026 COLECISTECTOMIA";25;16122,62;54;-;-
"0407030123 ESPLENECTOMIA";2;1868,72;12;-;-
"0407030212 PANCREATO-ENTEROSTOMIA";1;2526,51;11;-;-
"0407040064 HERNIOPLASTIA EPIGASTRICA";3;1400,81;3;-;-
"0407040080 HERNIOPLASTIA INCISIONAL";5;3004,93;10;-;-
"0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)";12;5873,02;11;-;-
"0407040129 HERNIOPLASTIA UMBILICAL";3;1088,64;3;-;-
"0408010142 REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)";1;311,75;2;-;-
"0408020407 TRATAMENTO CIRURGICO DE FRATURA DA EXTREMIDADE / METAFISE DISTAL DOS OSSOS DO ANTEBRACO";1;643,80;1;-;-
"0408020423 TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRACO (C/ SINTESE)";1;690,10;5;-;-
"0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA";2;6462,53;7;-;-
"0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES";1;1069,70;12;-;-
"0408050489 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE)";1;1717,43;23;-;-
"0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA";1;1029,36;3;-;-
"0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR";2;3017,37;11;-;-
"0408050594 TRATAMENTO CIRURGICO DE FRATURA LESAO FISARIA AO NIVEL DO JOELHO";1;440,35;2;-;-
"0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA";1;1643,46;6;-;-
"0408050683 TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO AO NIVEL DO JOELHO";1;397,15;1;-;-
"0408050861 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA DIAFISE TIBIAL";2;3768,82;6;-;-
"0408050870 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO/ PERDA OSSEA DA METAFISE TIBIAL";2;3698,74;26;-;-
"0408060050 ARTRODESE DE PEQUENAS ARTICULACOES";1;235,39;2;-;-
"0408060131 EXPLORACAO ARTICULAR C/ OU S/ SINOVECTOMIA DE PEQUENAS ARTICULACOES";1;142,06;1;-;-
"0408060166 OSTECTOMIA DE OSSOS DA MAO E/OU DO PE";1;258,61;1;-;-
"0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE";1;1782,62;7;-;-
"0408060190 OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE";1;1844,10;5;-;-
"0408060212 RESSECCAO DE CISTO SINOVIAL";1;91,49;1;-;-
"0408060590 TRATAMENTO CIRURGICO DE FRATURA VICIOSAMENTE CONSOLIDADA DOS OSSOS LONGOS EXCETO DA MAO E DO PE";2;2277,51;5;-;-
"0409020133 URETROPLASTIA AUTOGENA";1;403,68;4;-;-
"0409020176 URETROTOMIA INTERNA";1;312,93;5;-;-
"0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA";6;3399,92;23;-;-
"0409040185 REPARACAO E OPERACAO PLASTICA DO TESTICULO";1;250,35;1;-;-
"0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO";1;143,85;1;-;-
"0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL)";1;682,72;2;-;-
"0409060135 HISTERECTOMIA TOTAL";12;6824,24;24;-;-
"0409060186 LAQUEADURA TUBARIA";16;5022,72;18;-;-
"0409060194 MIOMECTOMIA";1;475,66;2;-;-
"0409060216 OOFORECTOMIA / OOFOROPLASTIA";1;457,25;1;-;-
"0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR";5;2050,45;10;-;-
"0409070190 MARSUPIALIZACAO DE GLANDULA DE BARTOLIN";1;140,97;2;-;-
"0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO";27;27774,81;72;-;-
