INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jan/2017
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.007 1.112.554,22 3.505 24 2,38
0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA 1 55,27 1 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 1 1.392,81 17 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 2 981,37 10 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 2 849,84 29 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 5 3.411,76 45 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 4 5.371,85 18 - -
0303040211 TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA 1 360,63 7 1 100,00
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 2 1.355,83 3 1 50,00
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 1 1.285,03 4 - -
0303060204 TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA 2 846,82 3 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 34 96.807,59 393 8 23,53
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 3 2.794,39 19 - -
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 1 471,41 7 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 1 618,77 4 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 1 1.134,57 14 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 2 910,36 20 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 14 2.513,23 48 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 73 10.358,80 247 - -
0303110058 TRATAMENTO DE FENDA LABIAL E/OU FENDA PALATINA 1 420,39 2 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 14 12.260,90 131 2 14,29
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 13 89.913,88 206 4 30,77
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 2 438,26 8 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 3 2.250,13 15 - -
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 1 954,90 20 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 12 12.102,73 48 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 7 2.107,85 24 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 11 61.634,96 249 - -
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 6 25.858,16 115 4 66,67
0305020013 TRATAMENTO DA PIELONEFRITE 1 679,10 16 - -
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 1 4.630,68 23 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 3 2.414,78 9 1 33,33
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 4 1.616,13 29 - -
0310010039 PARTO NORMAL 329 205.619,16 510 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 26 20.307,98 49 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 1 158,11 1 - -
0406010684 IMPLANTE DE MARCAPASSO TEMPORARIO TRANSVENOSO 1 630,98 2 - -
0406020566 TRATAMENTO CIRURGICO DE VARIZES (BILATERAL) 1 582,04 1 - -
0406030014 ANGIOPLASTIA CORONARIANA 1 3.076,22 2 - -
0406030022 ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS 4 32.766,17 24 1 25,00
0406030030 ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT 27 145.992,37 95 1 3,70
0406040052 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT) 6 14.421,41 7 - -
0406040060 ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NAO RECOBERTO) 3 15.973,79 7 - -
0407020039 APENDICECTOMIA 1 10.014,84 31 - -
0407020179 ENTERECTOMIA 1 2.619,49 20 - -
0407020284 HEMORROIDECTOMIA 1 315,94 1 - -
0407030026 COLECISTECTOMIA 22 16.196,27 38 - -
0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL 1 437,83 1 - -
0407040080 HERNIOPLASTIA INCISIONAL 1 664,92 2 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 2 1.095,02 2 - -
0407040129 HERNIOPLASTIA UMBILICAL 1 434,99 1 - -
0407040161 LAPAROTOMIA EXPLORADORA 3 6.434,48 29 - -
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 2 1.250,81 21 - -
0408020393 TRATAMENTO CIRUGICO DE FRATURA DA DIAFISE DO UMERO 1 660,89 5 - -
0408060042 AMPUTACAO / DESARTICULACAO DE DEDO 1 788,75 10 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 3 1.474,98 3 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 3 646,26 2 - -
0409060070 ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIRACAO MANUAL INTRA-UTERINA (AMIU) 1 284,12 1 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 3 1.572,24 6 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 3 2.552,10 6 - -
0409060135 HISTERECTOMIA TOTAL 7 4.846,21 14 - -
0409060186 LAQUEADURA TUBARIA 6 2.322,12 6 - -
0409060194 MIOMECTOMIA 1 624,94 2 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 1 472,43 2 - -
0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE 1 224,68 2 - -
0410010014 DRENAGEM DE ABSCESSO DE MAMA 3 703,35 18 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 1 157,81 1 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 46 55.055,65 138 - -
0411010034 OPERACAO CESARIANA 173 140.992,20 429 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 24 26.293,08 51 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 58 15.360,40 91 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 1 507,18 2 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 7 29.218,83 88 1 14,29

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
