INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Mai/2017
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0406040222 FECHAMENTO PERCUTANEO DE FISTULAS ARTERIOVENOSAS COM LIBERACAO DE COILS 1 3.679,74 1 - -
0407010211 GASTROSTOMIA 1 1.526,55 22 - -
0407010297 TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO 1 766,06 1 - -
0407020039 APENDICECTOMIA 2 877,24 4 - -
0407020101 COLOSTOMIA 1 1.606,02 22 - -
0407020241 FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO) 1 650,09 3 - -
0407020276 FISTULECTOMIA / FISTULOTOMIA ANAL 1 254,12 2 - -
0407020284 HEMORROIDECTOMIA 4 1.263,76 4 - -
0407030026 COLECISTECTOMIA 31 22.981,41 49 - -
0407040080 HERNIOPLASTIA INCISIONAL 1 680,92 2 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 4 2.712,08 5 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 15 10.635,35 17 - -
0407040129 HERNIOPLASTIA UMBILICAL 3 1.515,32 6 - -
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 1 531,89 2 - -
0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES 1 1.387,16 13 - -
0409010065 CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA 1 549,72 3 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 1 783,74 8 - -
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE 1 256,97 2 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 3 1.426,98 - - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 1 215,42 1 - -
0409060100 HISTERECTOMIA (POR VIA VAGINAL) 1 508,08 3 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 3 2.552,10 6 - -
0409060135 HISTERECTOMIA TOTAL 8 5.552,24 16 - -
0409060186 LAQUEADURA TUBARIA 4 1.548,08 4 - -
0409060194 MIOMECTOMIA 1 552,94 2 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 1 582,06 1 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 1 472,43 3 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 4 631,24 4 - -
