 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Mar/2023
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0409060194 MIOMECTOMIA";1;569,72;2;-;-
"0409060216 OOFORECTOMIA / OOFOROPLASTIA";3;2381,88;4;-;-
"0409060232 SALPINGECTOMIA UNI / BILATERAL";1;547,15;1;-;-
"0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR";1;488,43;2;-;-
"0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE";1;265,46;1;-;-
"0410010014 DRENAGEM DE ABSCESSO DE MAMA";4;1355,80;20;-;-
"0411010018 DESCOLAMENTO MANUAL DE PLACENTA";5;1162,25;4;-;-
"0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO";51;73823,08;245;-;-
"0411010034 OPERACAO CESARIANA";137;102488,72;303;-;-
"0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA";20;18369,06;43;-;-
"0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL";53;16079,42;69;-;-
"0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA";6;3169,52;10;-;-
"0412040166 TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA";1;1029,44;-;-;-
"0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS";13;57657,74;85;-;-
"0415040027 DEBRIDAMENTO DE FASCEITE NECROTIZANTE";1;605,33;7;-;-
"0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS";2;2615,89;23;-;-
"Total";1004;1328323,91;3927;13;1,29
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
