 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Set/2023
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO";1;256,98;1;-;-
"0409060054 CURETAGEM UTERINA EM MOLA HIDATIFORME";1;137,38;1;-;-
"0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL)";1;1405,10;2;-;-
"0409060127 HISTERECTOMIA SUBTOTAL";1;904,27;1;-;-
"0409060135 HISTERECTOMIA TOTAL";13;15216,66;22;-;-
"0409060186 LAQUEADURA TUBARIA";42;23815,68;42;-;-
"0409060194 MIOMECTOMIA";2;1139,44;3;-;-
"0409060216 OOFORECTOMIA / OOFOROPLASTIA";3;1774,26;3;-;-
"0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR";1;472,43;1;-;-
"0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE";3;690,04;3;-;-
"0410010014 DRENAGEM DE ABSCESSO DE MAMA";2;547,80;11;-;-
"0411010018 DESCOLAMENTO MANUAL DE PLACENTA";1;239,37;3;-;-
"0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO";49;64608,20;161;1;2,04
"0411010034 OPERACAO CESARIANA";117;87643,87;259;-;-
"0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA";24;22414,94;56;-;-
"0411010077 SUTURA DE LACERACOES DE TRAJETO PELVICO";1;145,58;2;-;-
"0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL";87;35542,21;134;-;-
"0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA";8;4807,87;24;-;-
"0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS";10;36903,93;70;-;-
"Total";1004;1165990,49;3420;9;0,90
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
