 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Jun/2017
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA";1;63,27;2;-;-
"0303010010 TRATAMENTO DE DENGUE CLASSICA";2;21008,96;61;-;-
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";1;324,90;1;-;-
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";19;7255,03;215;-;-
"0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS";2;6016,57;17;-;-
"0303030020 TRATAMENTO DE DESNUTRICAO";1;5432,48;11;-;-
"0303030038 TRATAMENTO DE DIABETES MELLITUS";5;7900,43;26;2;40,00
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";1;163,42;3;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";4;2783,18;27;-;-
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";3;4000,55;43;-;-
"0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO";1;2972,46;7;1;100,00
"0303060204 TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA";2;1018,28;3;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";19;21468,83;116;-;-
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";1;939,80;4;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";2;691,01;10;-;-
"0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO";2;478,23;8;-;-
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";11;2059,43;42;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";68;9718,00;270;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";16;11555,80;100;2;12,50
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";17;56885,60;131;2;11,76
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";2;1297,98;9;-;-
"0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL";8;2260,32;24;-;-
"0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO";8;2737,14;16;-;-
"0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL";17;68596,71;251;2;11,76
"0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL";8;40659,59;185;4;50,00
"0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC";4;5648,23;24;1;25,00
