INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Out/2009
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 1 1 178,50 156,09 - - 22,41 - - 178,50 178,50 3 3,0 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 39 39 4.567,71 3.624,36 - - 943,35 - - 117,12 117,12 79 2,0 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 20 20 29.770,41 27.165,91 - - 2.604,50 - - 1.488,52 1.488,52 192 9,6 3 15,00
0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS 1 1 181,68 157,82 - - 23,86 - - 181,68 181,68 4 4,0 - -
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 18 18 54.343,85 47.828,90 - - 6.514,95 - - 3.019,10 3.019,10 278 15,4 2 11,11
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 1 1 219,13 192,62 - - 26,51 - - 219,13 219,13 4 4,0 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 29 29 20.305,02 17.794,64 - - 2.510,38 - - 700,17 700,17 158 5,4 1 3,45
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO 5 5 1.473,96 1.293,47 - - 180,49 - - 294,79 294,79 25 5,0 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 8 8 24.867,15 21.412,47 - - 3.454,68 - - 3.108,39 3.108,39 62 7,8 - -
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL 6 6 20.827,71 17.950,77 - - 2.876,94 - - 3.471,28 3.471,28 54 9,0 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 17 17 91.051,09 79.239,07 - - 11.812,02 - - 5.355,95 5.355,95 284 16,7 2 11,76
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 1 1 10.728,23 9.391,89 - - 1.336,34 - - 10.728,23 10.728,23 53 53,0 - -
0305020013 TRATAMENTO DA PIELONEFRITE 10 10 2.784,97 2.439,78 - - 345,19 - - 278,50 278,50 52 5,2 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 1 1 878,43 759,40 - - 119,03 - - 878,43 878,43 21 21,0 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 3 3 5.180,38 4.482,55 - - 697,83 - - 1.726,79 1.726,79 19 6,3 - -
0310010039 PARTO NORMAL 296 296 173.504,12 86.291,17 - - 87.212,95 - - 586,16 586,16 447 1,5 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 11 11 8.609,41 4.614,43 - - 3.994,98 - - 782,67 782,67 24 2,2 - -
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO 2 2 348,22 226,56 - - 121,66 - - 174,11 174,11 2 1,0 - -
0403010306 TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO 1 1 1.514,80 1.060,08 - - 454,72 - - 1.514,80 1.514,80 18 18,0 - -
