INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jan/2020
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0407040064 HERNIOPLASTIA EPIGASTRICA 3 1.883,61 4 - -
0407040080 HERNIOPLASTIA INCISIONAL 3 2.543,18 6 - -
0407040099 HERNIOPLASTIA INGUINAL (BILATERAL) 2 1.324,04 2 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 9 5.891,59 10 - -
0407040129 HERNIOPLASTIA UMBILICAL 5 2.276,95 5 - -
0407040161 LAPAROTOMIA EXPLORADORA 1 637,19 1 - -
0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO) 3 1.737,62 15 - -
0408050012 AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES 1 892,74 5 - -
0408050020 AMPUTACAO / DESARTICULACAO DE PE E TARSO 1 505,54 11 - -
0408050489 TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE) 2 2.688,04 10 - -
0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA 1 2.458,56 28 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 3 654,26 3 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 1 890,70 2 - -
0409060135 HISTERECTOMIA TOTAL 2 1.606,14 7 - -
0409060186 LAQUEADURA TUBARIA 17 6.555,34 17 - -
0410010014 DRENAGEM DE ABSCESSO DE MAMA 1 288,29 7 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 8 1.262,48 10 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 62 77.631,89 195 - -
0411010034 OPERACAO CESARIANA 124 99.772,61 269 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 20 22.144,46 46 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 61 15.665,42 88 - -
0411020030 HISTERECTOMIA PUERPERAL 1 2.180,66 5 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 4 2.337,91 8 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 6 26.245,00 83 2 33,33
0415020034 OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS 1 6.913,92 2 - -
0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS 1 3.552,60 11 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
