 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Dez/2015
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR";1;1641,09;7;-;-
"0408050632 TRATAMENTO CIRURGICO DE FRATURA TRANSTROCANTERIANA";1;1960,88;8;-;-
"0408060336 RETIRADA DE CORPO ESTRANHO INTRA-OSSEO";1;156,33;2;-;-
"0409010065 CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA";1;549,72;1;-;-
"0409010090 CISTOSTOMIA";1;658,64;6;-;-
"0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA";1;594,68;4;-;-
"0409040215 TRATAMENTO CIRURGICO DE HIDROCELE";1;301,03;3;-;-
"0409060038 EXCISAO TIPO 3 DO COLO UTERINO";4;1966,64;4;-;-
"0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO";3;646,26;2;-;-
"0409060100 HISTERECTOMIA (POR VIA VAGINAL)";4;2152,32;8;-;-
"0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL)";2;1757,40;4;-;-
"0409060127 HISTERECTOMIA SUBTOTAL";2;1254,55;5;-;-
"0409060135 HISTERECTOMIA TOTAL";7;4918,21;15;-;-
"0409060186 LAQUEADURA TUBARIA";2;750,04;1;-;-
"0409060194 MIOMECTOMIA";1;576,94;1;-;-
"0409070190 MARSUPIALIZACAO DE GLANDULA DE BARTOLIN";1;139,96;1;-;-
"0410010014 DRENAGEM DE ABSCESSO DE MAMA";1;284,15;8;-;-
"0411010018 DESCOLAMENTO MANUAL DE PLACENTA";6;946,86;8;-;-
"0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO";36;46865,48;119;-;-
"0411010034 OPERACAO CESARIANA";151;122617,87;345;-;-
"0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA";23;25595,21;49;-;-
"0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL";57;13707,96;79;-;-
"0411020056 TRATAMENTO DE OUTROS TRANSTORNOS MATERNOS RELACIONADOS PREDOMINANTEMENTE A GRAVIDEZ";1;1844,88;3;1;100,00
