 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Mai/2015
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA";1;1825,28;4;-;-
"0408050519 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DO FEMUR";1;1478,98;5;-;-
"0408050551 TRATAMENTO CIRURGICO DE FRATURA DO PLANALTO TIBIAL";1;685,86;4;-;-
"0408060174 OSTECTOMIA DE OSSOS LONGOS EXCETO DA MAO E DO PE";1;649,74;3;-;-
"0409040215 TRATAMENTO CIRURGICO DE HIDROCELE";1;304,97;1;-;-
"0409060054 CURETAGEM UTERINA EM MOLA HIDATIFORME";1;185,38;1;-;-
"0409060070 ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIRACAO MANUAL INTRA-UTERINA (AMIU)";1;190,84;1;-;-
"0409060100 HISTERECTOMIA (POR VIA VAGINAL)";1;572,08;2;-;-
"0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL)";3;2624,10;7;-;-
"0409060127 HISTERECTOMIA SUBTOTAL";1;642,04;2;-;-
"0409060135 HISTERECTOMIA TOTAL";2;1364,06;4;-;-
"0409060186 LAQUEADURA TUBARIA";2;774,04;2;-;-
"0409060194 MIOMECTOMIA";1;576,94;2;-;-
"0409060232 SALPINGECTOMIA UNI / BILATERAL";1;465,59;2;-;-
"0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR";5;2522,39;19;-;-
"0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE";1;320,68;2;-;-
"0410010014 DRENAGEM DE ABSCESSO DE MAMA";1;352,05;13;-;-
"0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO";65;78171,02;206;-;-
"0411010034 OPERACAO CESARIANA";167;136363,78;391;-;-
"0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA";16;17493,20;36;-;-
"0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL";17;4563,15;35;-;-
"0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA";4;2112,37;8;-;-
"0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS";15;38922,87;136;2;13,33
"0415040035 DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS";1;543,08;3;-;-
"Total";1077;1083824,87;3573;28;2,60
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
