 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Abr/2013
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";3;3262,02;36;1;33,33
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";5;1780,80;16;-;-
"0303010118 TRATAMENTO DE HEPATITES VIRAIS";1;6109,29;23;-;-
"0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09)";2;657,08;21;-;-
"0303030020 TRATAMENTO DE DESNUTRICAO";2;981,56;11;1;50,00
"0303030038 TRATAMENTO DE DIABETES MELLITUS";7;10354,06;53;1;14,29
"0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS";1;3447,22;16;-;-
"0303040076 TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL";1;827,03;3;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";4;2383,71;24;1;25,00
"0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS";1;120,83;1;-;-
"0303060034 TRATAMENTO DE CARDIOPATIA HIPERTROFICA";1;753,97;-;1;100,00
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";3;1588,04;35;-;-
"0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA";1;5285,58;15;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";24;56968,72;228;8;33,33
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";1;7806,33;16;-;-
"0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA";1;610,96;16;-;-
"0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO";1;186,06;2;-;-
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";2;4387,89;20;1;50,00
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";4;2669,77;22;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";6;3620,66;29;1;16,67
"0303080060 TRATAMENTO DE ESTAFILOCOCCIAS";1;308,62;2;-;-
