 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Out/2025
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";2;5268,02;11;1;50,00
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";6;2141,74;68;-;-
"0303030020 TRATAMENTO DE DESNUTRICAO";1;648,86;10;-;-
"0303030038 TRATAMENTO DE DIABETES MELLITUS";1;596,80;6;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";3;8672,50;24;1;33,33
"0303060018 TRATAMENTO DE ANEURISMA DA AORTA";1;908,32;13;-;-
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";4;1179,54;18;-;-
"0303060140 TRATAMENTO DE EMBOLIA PULMONAR";1;514,78;7;-;-
"0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO";1;4609,88;12;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";16;39457,57;183;-;-
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";1;1205,29;5;-;-
"0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO";3;2237,54;33;-;-
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";1;13210,77;28;1;100,00
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";4;2148,64;28;-;-
"0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO";2;887,50;10;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";3;1258,40;28;-;-
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";16;31883,70;109;1;6,25
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";63;14003,61;212;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";4;3185,63;24;-;-
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";3;35421,92;56;-;-
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";4;6259,07;18;1;25,00
"0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL";6;1627,93;22;-;-
"0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL";30;132880,25;257;4;13,33
"0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO";48;15421,76;154;-;-
"0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL";14;75933,78;153;-;-
"0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL";19;265475,37;392;2;10,53
"0304100021 TRATAMENTO CLINICO DE PACIENTE ONCOLOGICO";2;2607,60;18;-;-
"0305020013 TRATAMENTO DA PIELONEFRITE";2;843,96;9;-;-
"0305020021 TRATAMENTO DE CALCULOSE RENAL";1;335,56;2;-;-
"0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA";1;806,20;12;-;-
"0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC";2;7028,95;19;-;-
"0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS";13;25276,64;88;1;7,69
"0310010039 PARTO NORMAL";287;164472,11;521;-;-
"0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO";35;25380,87;87;-;-
"0403010101 DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE";1;11683,01;61;-;-
"0406020124 EMBOLECTOMIA ARTERIAL";4;6724,20;4;-;-
"0407010211 GASTROSTOMIA";1;695,76;1;-;-
"0407010335 TRATAMETO CIRURGICO DE MEGAESOFAGO SEM RESSECCAO/ CONSERVADOR";1;1846,37;1;-;-
"0407020039 APENDICECTOMIA";2;1364,96;14;-;-
"0407030026 COLECISTECTOMIA";25;26551,11;35;-;-
"0407030069 COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA";1;1965,98;10;-;-
"0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL";2;1203,39;4;-;-
"0407040064 HERNIOPLASTIA EPIGASTRICA";1;903,73;1;-;-
"0407040080 HERNIOPLASTIA INCISIONAL";2;1505,49;9;-;-
"0407040099 HERNIOPLASTIA INGUINAL (BILATERAL)";2;2836,12;4;-;-
"0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)";6;5744,97;12;-;-
"0407040129 HERNIOPLASTIA UMBILICAL";4;1959,96;4;-;-
"0407040161 LAPAROTOMIA EXPLORADORA";3;23530,18;52;1;33,33
"0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO)";2;1260,04;19;-;-
"0408040050 ARTROPLASTIA PARCIAL DE QUADRIL";1;5340,24;1;-;-
"0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA";1;7961,81;2;-;-
"0408050160 RECONSTRUCAOLIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR)";14;122825,78;14;-;-
"0408050500 TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA";1;926,56;7;-;-
"0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA";2;1840,72;7;-;-
"0409060011 CERCLAGEM DE COLO DO UTERO";1;210,01;4;-;-
