 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Dez/2016
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA";1;55,27;1;-;-
"0303010010 TRATAMENTO DE DENGUE CLASSICA";2;1437,30;24;-;-
"0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS";2;24963,70;66;-;-
"0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS";6;7132,23;42;-;-
"0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64)";4;1375,14;40;-;-
"0303030020 TRATAMENTO DE DESNUTRICAO";1;892,23;8;-;-
"0303030038 TRATAMENTO DE DIABETES MELLITUS";2;931,69;14;-;-
"0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)";7;6418,91;47;3;42,86
"0303060069 TRATAMENTO DE CHOQUE CARDIOGENICO";1;601,89;8;-;-
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";16;22143,96;153;-;-
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";2;2470,17;6;-;-
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";1;1134,86;35;-;-
"0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO";1;285,67;2;-;-
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";7;4510,64;113;-;-
"0303080078 TRATAMENTO DE ESTREPTOCOCCIAS";2;613,94;7;-;-
"0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS";1;221,05;3;-;-
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";14;3217,82;46;-;-
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";71;10658,27;234;-;-
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";14;31580,07;119;4;28,57
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";14;60452,12;138;2;14,29
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";2;1462,25;9;-;-
"0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO";1;336,18;5;-;-
