INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Jul/2008
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 12 62.075,45 343 1 8,33
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 5 16.844,90 40 4 80,00
0304100013 TRATAMENTO DE INTERCORRENCIAS CLINICAS DE PACIENTE ONCOLOGICO 1 1.766,50 3 - -
0305020013 TRATAMENTO DA PIELONEFRITE 14 3.271,24 64 - -
0305020021 TRATAMENTO DE CALCULOSE RENAL 1 865,95 29 - -
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 3 3.768,69 21 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 2 2.968,59 36 1 50,00
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 1 182,47 1 - -
0310010039 PARTO NORMAL 233 107.367,37 340 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 14 8.946,88 22 - -
0401020088 EXERESE DE CISTO SACRO-COCCIGEO 1 157,75 1 - -
0406020124 EMBOLECTOMIA ARTERIAL 1 1.942,66 16 - -
0407010211 GASTROSTOMIA 1 741,50 10 1 100,00
0407020063 COLECTOMIA PARCIAL (HEMICOLECTOMIA) 1 2.684,82 5 - -
0407020217 ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL 3 653,43 3 - -
0407020241 FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO) 1 552,85 3 - -
0407020462 TRATAMENTO CIRURGICO DE MA ROTACAO INTESTINAL 1 4.228,89 53 1 100,00
0407030026 COLECISTECTOMIA 31 19.705,47 45 - -
0407040064 HERNIOPLASTIA EPIGASTRICA 4 1.865,08 4 - -
0407040080 HERNIOPLASTIA INCISIONAL 4 2.199,15 7 - -
0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL) 24 14.306,52 28 - -
0407040129 HERNIOPLASTIA UMBILICAL 5 1.814,40 5 - -
0407040161 LAPAROTOMIA EXPLORADORA 2 1.124,92 3 - -
0408020407 TRATAMENTO CIRURGICO DE FRATURA DA EXTREMIDADE / METAFISE DISTAL DOS OSSOS DO ANTEBRACO 1 468,00 2 - -
0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA 3 9.745,80 15 - -
0408050578 TRATAMENTO CIRURGICO DE FRATURA DO TORNOZELO UNIMALEOLAR 1 524,69 2 - -
0408050802 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA REGIAO TROCANTER 1 1.874,42 4 - -
0408050861 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA DIAFISE TIBIAL 1 1.884,41 3 - -
0408060131 EXPLORACAO ARTICULAR C/ OU S/ SINOVECTOMIA DE PEQUENAS ARTICULACOES 1 142,06 1 - -
0408060360 RETIRADA DE FIXADOR EXTERNO 1 159,67 1 - -
0408060395 RETIRADA DE PROTESE DE SUBSTITUICAO EM PEQUENAS E MEDIAS ARTICULACOES 1 552,61 15 - -
0408060450 TENOMIORRAFIA 1 205,91 2 - -
0409010480 TRATAMENTO CIRURGICO DE HEMORRAGIA VESICAL(FORMOLIZACAO DA BEXIGA) 1 531,51 8 - -
0409010570 URETEROPLASTIA 1 538,03 2 - -
0409030023 PROSTATECTOMIA SUPRAPUBICA 1 762,62 6 - -
0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA 5 2.812,92 26 - -
0409040215 TRATAMENTO CIRURGICO DE HIDROCELE 1 227,83 1 - -
0409050040 CORRECAO DE HIPOSPADIA (SEGUNDO TEMPO) 1 370,06 6 - -
0409060038 EXCISAO TIPO 3 DO COLO UTERINO 1 401,07 1 - -
0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO 4 666,88 4 - -
0409060070 ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIRACAO MANUAL INTRA-UTERINA (AMIU) 1 145,70 1 - -
0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL) 3 2.068,16 6 - -
0409060135 HISTERECTOMIA TOTAL 5 2.830,10 14 - -
0409060186 LAQUEADURA TUBARIA 17 5.294,90 17 - -
0409060216 OOFORECTOMIA / OOFOROPLASTIA 3 1.371,75 4 - -
0409070050 COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR 5 2.050,45 11 - -
0409070157 EXERESE DE GLANDULA DE BARTHOLIN / SKENE 2 437,46 4 - -
0409070190 MARSUPIALIZACAO DE GLANDULA DE BARTOLIN 4 522,14 4 - -
0410010014 DRENAGEM DE ABSCESSO DE MAMA 3 539,76 5 - -
0411010018 DESCOLAMENTO MANUAL DE PLACENTA 1 157,81 2 - -
0411010026 OPERACAO CESARIANA EM GESTACAO DE ALTO RISCO 32 32.300,61 71 - -
0411010034 OPERACAO CESARIANA 128 86.086,39 230 - -
0411010042 OPERACAO CESARIANA COM LAQUEADURA TUBARIA 11 9.033,86 20 - -
0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL 26 5.612,26 34 - -
0411020048 TRATAMENTO CIRURGICO DE GRAVIDEZ ECTOPICA 2 936,36 4 - -
0412040018 COSTECTOMIA 1 318,40 1 - -
0412040174 TORACOTOMIA EXPLORADORA 1 1.815,46 52 - -
0415010012 TRATAMENTO C/ CIRURGIAS MULTIPLAS 1 1.088,32 2 - -

Legenda:
- - Dado numérico igual a 0 não resultante de arredondamento.
0; 0,0 - Dado numérico igual a 0 resultante de arredondamento de um dado originalmente positivo.


COPIA COMO .CSV
COPIA PARA TABWIN
