 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasValor totalDias permanênciaÓbitosTaxa mortalidade por Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Fev/2011
"Procedimento";"AIH_aprovadas";"Valor_total";"Dias_permanência";"Óbitos";"Taxa_mortalidade"
"0407030069 COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA";1;686,75;5;-;-
"0407040013 DRENAGEM DE ABSCESSO PELVICO";1;755,08;-;-;-
"0407040030 DRENAGEM DE HEMATOMA / ABSCESSO PRE-PERITONEAL";1;444,18;6;-;-
"0407040080 HERNIOPLASTIA INCISIONAL";4;2292,68;8;-;-
"0407040099 HERNIOPLASTIA INGUINAL (BILATERAL)";2;1222,04;2;-;-
"0407040102 HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)";27;15172,77;30;-;-
"0407040129 HERNIOPLASTIA UMBILICAL";5;2174,95;5;-;-
"0407040161 LAPAROTOMIA EXPLORADORA";2;1387,10;21;-;-
"0407040242 RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO)";2;1063,78;6;-;-
"0408040084 ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA";1;3236,21;4;-;-
"0408050799 TRATAMENTO CIRURGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDACAO / PERDA OSSEA DA DIAFISE DO FEMU";1;1809,42;3;-;-
"0409010170 INSTALACAO ENDOSCOPICA DE CATETER DUPLO J";2;1407,85;12;-;-
"0409030023 PROSTATECTOMIA SUPRAPUBICA";1;1081,71;4;-;-
"0409030040 RESSECCAO ENDOSCOPICA DE PROSTATA";4;5135,77;71;-;-
"0409040215 TRATAMENTO CIRURGICO DE HIDROCELE";1;264,97;1;-;-
"0409060038 EXCISAO TIPO 3 DO COLO UTERINO";4;1870,64;3;-;-
"0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO";5;1029,10;3;-;-
"0409060119 HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL)";3;2648,10;7;-;-
"0409060135 HISTERECTOMIA TOTAL";8;6204,00;22;-;-
