INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Ago/2019
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.034 1.100.786,07 3.821 27 2,61
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 4 1.806,97 12 - -
0303010126 TRATAMENTO DE INFECCOES DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL (A50 A A64) 9 3.049,17 80 - -
0303020059 TRATAMENTO DE ANEMIAS NUTRICIONAIS 1 318,79 - - -
0303030020 TRATAMENTO DE DESNUTRICAO 1 644,38 12 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 4 12.785,46 47 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 1 190,47 4 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 4 15.901,16 100 - -
0303040157 TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA 1 463,09 3 - -
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 1 8.492,47 13 1 100,00
0303060140 TRATAMENTO DE EMBOLIA PULMONAR 3 5.962,35 24 - -
0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA 1 172,34 2 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 3 7.217,08 9 2 66,67
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 32 46.332,54 220 5 15,63
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 1 12.494,95 27 - -
0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA 1 401,68 4 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 2 6.127,01 16 1 50,00
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 4 2.147,12 20 - -
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO 1 193,66 6 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 2 556,76 11 - -
0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS 1 290,15 8 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 15 4.049,85 48 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 64 11.161,11 244 - -
