INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Valor total, Dias permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Set/2011
Procedimento AIH aprovadas Valor total Dias permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)

Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.013 883.715,44 3.467 24 2,37
0301060010 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA 2 118,54 3 - -
0301060070 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA 2 80,76 1 - -
0301060088 DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA 1 50,57 1 - -
0303010010 TRATAMENTO DE DENGUE CLASSICA 2 575,52 5 - -
0303010037 TRATAMENTO DE OUTRAS DOENCAS BACTERIANAS 2 5.718,39 11 1 50,00
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 15 5.410,35 51 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 15 6.575,70 72 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 4 1.314,48 21 - -
0303040084 TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE) 2 613,64 4 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 3 4.924,97 37 - -
0303040165 TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS 2 751,17 29 - -
0303060026 TRATAMENTO DE ARRITMIAS 6 1.602,03 17 2 33,33
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 11 2.384,16 38 - -
0303060140 TRATAMENTO DE EMBOLIA PULMONAR 2 1.063,66 12 - -
0303060174 TRATAMENTO DE HIPERTENSAO PULMONAR 1 6.619,37 19 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 2 8.695,14 25 - -
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 19 41.160,24 305 5 26,32
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 7 2.640,30 80 1 14,29
0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA 1 380,49 9 - -
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 1 272,17 5 - -
0303070072 TRATAMENTO DE DOENCAS DO FIGADO 4 2.784,97 32 - -
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 3 1.165,51 14 - -
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO 1 193,66 3 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 6 3.991,70 33 1 16,67
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS 4 2.092,69 39 - -
0303080078 TRATAMENTO DE ESTREPTOCOCCIAS 1 316,62 3 - -
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO 3 462,90 9 - -
0303100028 TRATAMENTO DE ECLAMPSIA 1 1.695,89 6 - -
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ 47 5.850,96 129 - -
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES 26 23.793,44 173 2 7,69
0303140100 TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES 1 201,07 3 - -
0303140127 TRATAMENTO DE OUTRAS DOENCAS DAS VIAS AEREAS SUPERIORES 1 185,83 3 - -
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO 13 52.044,33 223 2 15,38
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES 2 406,26 4 - -
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE) 14 9.072,21 68 - -
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS 2 598,40 9 - -
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO 6 2.159,71 44 - -
0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL 1 1.707,23 4 - -
0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO 2 581,08 8 - -
0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL 16 110.496,01 389 2 12,50
0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL 5 22.916,15 72 4 80,00
0305020013 TRATAMENTO DA PIELONEFRITE 2 417,00 4 - -
0305020021 TRATAMENTO DE CALCULOSE RENAL 1 175,97 4 - -
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA 1 453,69 1 - -
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC 1 8.032,24 42 - -
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS 4 979,97 24 - -
0310010039 PARTO NORMAL 296 187.218,01 447 - -
0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO 13 9.818,07 25 - -
0403010314 TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO 1 1.526,12 4 - -
0406020124 EMBOLECTOMIA ARTERIAL 2 4.933,42 7 - -
0407010076 ESOFAGOGASTRECTOMIA 1 2.282,17 12 - -
0407010211 GASTROSTOMIA 1 721,10 4 - -
