INFORMAÇÕES DE SAÚDE
DATASUS  Tecnologia da Informação a Serviço do SUS
AJUDA
NOTAS TÉCNICAS
DATASUS
PROCEDIMENTOS HOSPITALARES DO SUS - POR GESTOR - MATO GROSSO
AIH aprovadas, Internações, Valor total, Valor serviços hospitalares, Val serv hosp - compl federal, Val serv hosp - compl gestor, Valor serviços profissionais, Val serv prof - compl federal, Val serv prof - compl gestor, Valor médio AIH, Valor médio intern, Dias permanência, Média permanência, Óbitos, Taxa mortalidade segundo Procedimento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período: Mar/2014
Procedimento AIH aprovadas Internações Valor total Valor serviços hospitalares Val serv hosp - compl federal Val serv hosp - compl gestor Valor serviços profissionais Val serv prof - compl federal Val serv prof - compl gestor Valor médio AIH Valor médio intern Dias permanência Média permanência Óbitos Taxa mortalidade
Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
Notas:
Situação da base de dados nacional em 29/04/2016.
Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
Consulte o site da Secretaria Estadual de Saúde para mais informações.
  TOTAL 1.041 1.041 922.891,07 636.218,09 - - 286.672,98 - - 886,54 886,54 3.555 3,4 27 2,59
0209040033 TRAQUEOSCOPIA 1 1 348,59 136,29 - - 212,30 - - 348,59 348,59 2 2,0 - -
0303010061 TRATAMENTO DE DOENCAS INFECCIOSAS INTESTINAIS 4 4 1.665,82 1.500,08 - - 165,74 - - 416,45 416,45 17 4,3 - -
0303010118 TRATAMENTO DE HEPATITES VIRAIS 1 1 271,76 234,55 - - 37,21 - - 271,76 271,76 9 9,0 - -
0303010134 TRATAMENTO DE INFECCOES VIRAIS CARACTERIZADAS POR LESOES DE PELE E MUCOSAS (B00 A B09) 2 2 364,84 294,14 - - 70,70 - - 182,42 182,42 10 5,0 - -
0303030038 TRATAMENTO DE DIABETES MELLITUS 2 2 788,40 688,38 - - 100,02 - - 394,20 394,20 10 5,0 - -
0303030046 TRATAMENTO DE DISTURBIOS METABOLICOS 2 2 398,96 344,22 - - 54,74 - - 199,48 199,48 10 5,0 - -
0303040149 TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO) 10 10 18.560,41 16.250,71 - - 2.309,70 - - 1.856,04 1.856,04 115 11,5 2 20,00
0303060107 TRATAMENTO DE CRISE HIPERTENSIVA 1 1 372,19 318,71 - - 53,48 - - 372,19 372,19 9 9,0 - -
0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO 1 1 5.553,62 4.758,90 - - 794,72 - - 5.553,62 5.553,62 10 10,0 1 100,00
0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA 30 30 39.572,97 36.857,07 - - 2.715,90 - - 1.319,10 1.319,10 236 7,9 6 20,00
0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA 2 2 14.160,49 12.608,12 - - 1.552,37 - - 7.080,24 7.080,24 64 32,0 2 100,00
0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO 2 2 992,54 858,83 - - 133,71 - - 496,27 496,27 30 15,0 1 50,00
0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO 3 3 3.944,30 3.429,08 - - 515,22 - - 1.314,77 1.314,77 23 7,7 1 33,33
0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO 1 1 231,61 204,10 - - 27,51 - - 231,61 231,61 5 5,0 - -
0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS 2 2 721,86 637,96 - - 83,90 - - 360,93 360,93 9 4,5 - -
0303080060 TRATAMENTO DE ESTAFILOCOCCIAS 1 1 348,62 307,66 - - 40,96 - - 348,62 348,62 7 7,0 - -
