 Procedimentos hospitalares do SUS - por gestor - Mato Grosso
AIH aprovadasInternaçõesValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Ano/mês processamento
Estabelecimento: 2311682 HOSPITAL SANTA HELENA
Período:Jan/2008-Out/2025
"Ano/mês processamento";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"..Outubro/2020";1018;1018;1146712,55;825503,46;-;-;321209,09;-;-;1126,44;1126,44;3474;3,4;12;1,18
"..Novembro/2020";1002;1002;1033274,02;739946,91;-;-;293327,11;-;-;1031,21;1031,21;3360;3,4;11;1,10
"..Dezembro/2020";956;956;1149271,15;845729,12;-;-;303542,03;-;-;1202,17;1202,17;3810;4,0;12;1,26
"2021";12037;12037;13641093,55;9882994,76;-;8799,12;3737871,77;-;11427,90;1133,26;1133,26;41903;3,5;238;1,98
"  Janeiro/2021";974;974;1053192,13;746480,76;-;-;306711,37;-;-;1081,31;1081,31;3467;3,6;20;2,05
"  Fevereiro/2021";907;907;920126,51;651644,72;-;-;268481,79;-;-;1014,47;1014,47;2911;3,2;17;1,87
"  Março/2021";1013;1013;1148669,31;825271,79;-;-;323397,52;-;-;1133,93;1133,93;3617;3,6;20;1,97
"  Abril/2021";1034;1034;1147900,09;811319,68;-;-;336580,41;-;-;1110,15;1110,15;3642;3,5;18;1,74
"  Maio/2021";1061;1061;1174136,68;849326,96;-;-;324809,72;-;-;1106,63;1106,63;3602;3,4;19;1,79
"  Junho/2021";1002;1002;1143924,01;832368,64;-;-;311555,37;-;-;1141,64;1141,64;3263;3,3;19;1,90
"  Julho/2021";998;998;1123789,86;818795,05;-;-;304994,81;-;-;1126,04;1126,04;3481;3,5;19;1,90
"  Agosto/2021";1023;1023;1245541,71;921457,11;-;-;324084,60;-;-;1217,54;1217,54;3545;3,5;22;2,15
"  Setembro/2021";1065;1065;1236502,90;900750,91;-;3999,60;326557,89;-;5194,50;1161,04;1161,04;3572;3,4;24;2,25
"  Outubro/2021";1038;1038;1236363,90;904303,39;-;3732,96;323479,35;-;4848,20;1191,10;1191,10;3894;3,8;23;2,22
"  Novembro/2021";980;980;1084821,68;794719,40;-;-;290102,28;-;-;1106,96;1106,96;3599;3,7;21;2,14
"  Dezembro/2021";942;942;1126124,77;826556,35;-;1066,56;297116,66;-;1385,20;1195,46;1195,46;3310;3,5;16;1,70
"2022";11779;11779;14607806,44;10678451,64;-;4666,20;3918628,35;-;6060,25;1240,16;1240,16;42929;3,6;189;1,60
"..Janeiro/2022";1026;1026;1213462,04;878169,04;-;2533,08;329470,07;-;3289,85;1182,71;1182,71;3577;3,5;19;1,85
"..Fevereiro/2022";967;967;1095362,51;793255,49;-;2133,12;297203,50;-;2770,40;1132,74;1132,74;3331;3,4;17;1,76
"..Março/2022";1006;1006;1313609,96;964365,28;-;-;349244,68;-;-;1305,78;1305,78;3804;3,8;25;2,49
"..Abril/2022";1032;1032;1214277,07;866316,23;-;-;347960,84;-;-;1176,63;1176,63;3547;3,4;9;0,87
"..Maio/2022";1026;1026;1251375,31;907372,85;-;-;344002,46;-;-;1219,66;1219,66;3807;3,7;13;1,27
"..Junho/2022";1005;1005;1149417,24;843045,95;-;-;306371,29;-;-;1143,70;1143,70;3490;3,5;17;1,69
"..Julho/2022";996;996;1196959,85;871128,96;-;-;325830,89;-;-;1201,77;1201,77;3707;3,7;12;1,20
"..Agosto/2022";1004;1004;1286023,85;947549,55;-;-;338474,30;-;-;1280,90;1280,90;3854;3,8;16;1,59
