GRUPO: Procedimentos Com Finalidade Diagnóstica,,,,,,,,,
Procedimento,Descrição,Vl. Proced,Tipo de Item,,Qtd,Vl. SH,Vl. SP,,Total
0303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL ,"463,21",,Proc. Realizado,1,"398,83","64,38",,"463,21"
0303060107,TRATAMENTO DE CRISE HIPERTENSIVA,"189,67",,Proc. Realizado,1,"147,80","41,87",,"189,67"
0303060140,TRATAMENTO DE EMBOLIA PULMONAR,"1.025,56",,Proc. Realizado,2,"906,76","118,80",,"1.025,56"
0303060212,TRATAMENTO DE INSUFICIENCIA CARDIACA,"12.590,28",,Proc. Realizado,18,"11.867,22","732,16",,"12.599,38"
0303060280,TRATAMENTO DE SINDROME CORONARIANA ,"650,16",,Proc. Realizado,2,"531,62","101,61",,"633,23"
0303060298,TRATAMENTO DE TROMBOSE VENOSA PROFUNDA,"322,48",,Proc. Realizado,1,"271,80","38,96",,"310,76"
0303070064,TRATAMENTO DE DOENCAS DO ESOFAGO ,"186,06",,Proc. Realizado,1,"159,84","37,83",,"197,67"
0303070072,TRATAMENTO DE DOENCAS DO FIGADO,"1.665,56",,Proc. Realizado,4,"1.426,76","234,60",,"1.661,36"
0303070102,TRATAMENTO DE OUTRAS DOENCAS DO ,"694,30",,Proc. Realizado,2,"587,14","107,16",,"694,30"
0303070110,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO,"193,66",,Proc. Realizado,1,"166,15","27,51",,"193,66"
0303070129,TRATAMENTO DE TRANSTORNOS DAS VIAS ,"270,38",,Proc. Realizado,1,"228,43","103,87",,"332,30"
0303100010,TRATAMENTO DE COMPLICACOES RELACIONADAS ,"2.623,10",,Proc. Realizado,17,"2.242,13","367,28",,"2.609,41"
0303100044,TRATAMENTO DE INTERCORRENCIAS CLINICAS NA ,"4.697,32",,Proc. Realizado,43,"3.665,75","1.174,47",,"4.840,22"
0303140046,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS ,"1.916,76",,Proc. Realizado,4,"1.813,92","99,56",,"1.913,48"
0303140151,TRATAMENTO DE PNEUMONIAS OU INFLUENZA ,"2.329,68",,Proc. Realizado,4,"2.016,28","287,28",,"2.303,56"
0303150050,TRATAMENTO DE OUTRAS DOENCAS DO ,"218,68",,Proc. Realizado,1,"188,00","38,42",,"226,42"
0303160020,TRATAMENTO DE INFECCOES ESPECIFICAS DO ,"899,88",,Proc. Realizado,4,"765,84","134,04",,"899,88"
0303160039,TRATAMENTO DE OUTROS TRANSTORNOS ,"5.513,34",,Proc. Realizado,21,"4.698,75","1.023,57",,"5.722,32"
0303160047,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS ,"4.200,64",,Proc. Realizado,16,"3.580,00","624,51",,"4.204,51"
0303160055,TRATAMENTO DE TRANSTORNOS RELACIONADOS ,"4.668,12",,Proc. Realizado,6,"4.232,16","435,96",,"4.668,12"
0303160063,TRATAMENTO DE TRANSTORNOS RESPIRATORIOS ,"10.131,45",,Proc. Realizado,21,"9.120,51","1.010,94",,"10.131,45"
0304100021,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO,"734,88",,Proc. Realizado,2,"604,60","238,64",,"843,24"
0305010131,HEMODIÁLISE P/ PACIENTES RENAIS AGUDOS / ,"12.739,68",,Item Especial,48,"12.739,68","0,00",,"12.739,68"
0305020013,TRATAMENTO DA PIELONEFRITE,"204,50",,Proc. Realizado,1,"176,56","27,94",,"204,50"
0305020056,TRATAMENTO DA DOENÇA RENAL CRÔNICA - DRC,"449,65",,Proc. Realizado,1,"380,93","15,27",,"396,20"
